ID,Name,Annual Salary
1698151408978,Scott Mercado,20003
1698151573977,Brittany Stevenson,20008
1698153047506,Nicole Ballard,20014
1698187774692,Maria Dean,20017
1698151269486,Kelly Hall,20023
1698151210757,Jeremiah Grimes,20024
1698150904436,Erin Green,20033
1698150862143,Paul Clarke,20033
1698150823762,Joshua Wilson,20044
1698150936516,Nicole Scott,20048
1698150819181,Dean Wood,20063
1698150979094,Brenda Thomas,20067
1698151292599,Frank Lee,20069
1698150959833,Jacob Spencer,20079
1698187733705,Emily Rodriguez,20080
1698151568559,Mrs. Leslie Myers DDS,20080
1698187622571,Christina Owens,20081
1698187761729,Elizabeth Peck,20094
1698151096815,Michelle West,20117
1698187683090,Ryan Anderson,20129
1698187785476,Steven Dennis,20132
1698150947170,Amanda Wheeler,20150
1698150844310,Michelle Woods,20151
1698187623934,Melinda Foster,20156
1698149677255,Thomas Henderson,20158
1698187686444,Jordan Matthews,20165
1698151065054,Roberta Mendoza,20172
1698187636770,Dennis Miller,20173
1698187743632,Phillip Simpson,20179
1698187760387,Taylor Phillips,20180
1698150889923,Laura Jones,20180
1698150860855,Gabrielle Johnston,20194
1698151017679,Veronica Zuniga,20207
1698150948337,Kristen Delgado,20214
1698150894231,Michael Boyd,20228
1698187706435,Elizabeth Love,20248
1698150981271,Wayne Guzman,20252
1698153068593,Rodney Henry,20254
1698151114358,Jamie Moore,20257
1698151010647,Jennifer Brown,20264
1698151121734,Michael Mcgee,20285
1698187727155,Mr. Richard Foster,20288
1698151115191,Misty Davis,20298
1698150811181,Christopher Bishop,20312
1698187784655,Nicole Brown,20315
1698150975140,Bobby Atkins,20315
1698150846314,Kyle Garza,20315
1698187815863,Tiffany Thompson,20318
1698151412231,Debra Abbott,20319
1698187822376,Brianna Barron,20322
1698151260910,Kathleen Sanchez,20330
1698151170977,Diana Hill,20340
1698187760557,Daniel Larsen,20348
1698150811677,Luis White,20349
1698187628707,Curtis Nicholson,20361
1698150837071,Rebecca Young,20362
1698151602885,Christopher Sanders,20380
1698151298872,John Fox,20383
1698151212035,Gregory Robinson,20386
1698151070749,Melanie Greene,20390
1698151166982,Lauren Brewer,20391
1698151299817,Hannah Powers,20395
1698151003638,Tracy Tran,20407
1698153046577,Tammy Payne,20408
1698187824261,Jenna Love,20425
1698187756251,Joseph Downs,20447
1698150880596,Krista Shepard,20452
1698187674357,Ann Nelson,20454
1698150869870,Corey Alvarado,20460
1698151266399,Theresa Williams,20469
1698187606961,Michael Coleman,20477
1698153073360,Kenneth Walker,20477
1698151035237,Dwayne Brewer,20481
1698187746855,Ashley Estes,20482
1698150892273,Gregory Ortega,20487
1698187710818,Felicia Kirby,20488
1698150890740,Manuel Krause,20488
